Input String,Response String,text
Up! Get up! Now! Up! Up! Are you up yet?,"Nearly,","###Prompt:
Answer as if you are Harry responding to the previous line."
"Nearly,","Well, get a move on, I want you to look after the bacon. What did you say?","###Prompt:
Answer as if you are Petunia responding to the previous line."
"Well, get a move on, I want you to look after the bacon. What did you say?","Nothing, nothing . . .Petunia: Bad news, Vernon, Mrs. Figg’s broken her leg. She can’t take him. Now what?","###Prompt:
Answer as if you are Harry responding to the previous line."
"Nothing, nothing . . .Petunia: Bad news, Vernon, Mrs. Figg’s broken her leg. She can’t take him. Now what?","We could phone Marge,","###Prompt:
Answer as if you are Vernon responding to the previous line."
"We could phone Marge,","Don’t be silly, Vernon, she hates the boy.","###Prompt:
Answer as if you are Petunia responding to the previous line."
"Don’t be silly, Vernon, she hates the boy.","What about what’s-her-name, your friend — Yvonne?","###Prompt:
Answer as if you are Vernon responding to the previous line."
"What about what’s-her-name, your friend — Yvonne?","On vacation in Majorca,","###Prompt:
Answer as if you are Petunia responding to the previous line."
"On vacation in Majorca,","You could just leave me here,","###Prompt:
Answer as if you are Harry responding to the previous line."
"You could just leave me here,",And come back and find the house in ruins?,"###Prompt:
Answer as if you are Petunia responding to the previous line."
And come back and find the house in ruins?,"I won’t blow up the house,","###Prompt:
Answer as if you are Harry responding to the previous line."
"I won’t blow up the house,","I suppose we could take him to the zoo,","###Prompt:
Answer as if you are Petunia responding to the previous line."
"I suppose we could take him to the zoo,","That car’s new, he’s not sitting in it alone. . . .","###Prompt:
Answer as if you are Vernon responding to the previous line."
"That car’s new, he’s not sitting in it alone. . . .","Dinky Duddydums, don’t cry, Mummy won’t let him spoil your special day! Oh, good Lord, they’re here!","###Prompt:
Answer as if you are Petunia responding to the previous line."
"Dinky Duddydums, don’t cry, Mummy won’t let him spoil your special day! Oh, good Lord, they’re here!","I’m warning you, I’m warning you now, boy — any funny business, anything at all — and you’ll be in that cupboard from now until Christmas.Vernon: . . . roaring along like maniacs, the young hoodlums,","###Prompt:
Answer as if you are Vernon responding to the previous line."
"I’m warning you, I’m warning you now, boy — any funny business, anything at all — and you’ll be in that cupboard from now until Christmas.Vernon: . . . roaring along like maniacs, the young hoodlums,","I had a dream about a motorcycle, It was flying.","###Prompt:
Answer as if you are Harry responding to the previous line."
"I had a dream about a motorcycle, It was flying.",MOTORCYCLES DON’T FLY!,"###Prompt:
Answer as if you are Vernon responding to the previous line."
MOTORCYCLES DON’T FLY!,"I know they don’t, It was only a dream.Harry: What’s this?","###Prompt:
Answer as if you are Harry responding to the previous line."
"I know they don’t, It was only a dream.Harry: What’s this?","Your new school uniform,","###Prompt:
Answer as if you are Petunia responding to the previous line."
"Your new school uniform,","Oh, I didn’t realize it had to be so wet.","###Prompt:
Answer as if you are Harry responding to the previous line."
"Oh, I didn’t realize it had to be so wet.","Don’t be stupid, I’m dyeing some of Dudley’s old things gray for you. It’ll look just like everyone else’s when I’ve finished.Vernon: Get the mail, Dudley","###Prompt:
Answer as if you are Petunia responding to the previous line."
"Don’t be stupid, I’m dyeing some of Dudley’s old things gray for you. It’ll look just like everyone else’s when I’ve finished.Vernon: Get the mail, Dudley",Make Harry get it.,"###Prompt:
Answer as if you are Dudley responding to the previous line."
Make Harry get it.,Make Dudley get it.,"###Prompt:
Answer as if you are Harry responding to the previous line."
Make Dudley get it.,"Poke him with your Smelting stick,","###Prompt:
Answer as if you are Vernon responding to the previous line."
"Poke him with your Smelting stick,",That’s mine!,"###Prompt:
Answer as if you are Harry responding to the previous line."
That’s mine!,Who’d be writing to you? P-P-Petunia!,"###Prompt:
Answer as if you are Vernon responding to the previous line."
Who’d be writing to you? P-P-Petunia!,Vernon! Oh my goodness — Vernon!,"###Prompt:
Answer as if you are Petunia responding to the previous line."
Vernon! Oh my goodness — Vernon!,"I want to read that letter,","###Prompt:
Answer as if you are Dudley responding to the previous line."
"I want to read that letter,","I want to read it, as it’s mine.","###Prompt:
Answer as if you are Harry responding to the previous line."
"I want to read it, as it’s mine.","Get out, both of you,","###Prompt:
Answer as if you are Vernon responding to the previous line."
"Get out, both of you,",I WANT MY LETTER!,"###Prompt:
Answer as if you are Harry responding to the previous line."
I WANT MY LETTER!,Let me see it!,"###Prompt:
Answer as if you are Dudley responding to the previous line."
Let me see it!,"Get out,Harry: It was not a mistake, it had my cupboard on it.","###Prompt:
Answer as if you are Vernon responding to the previous line."
"Get out,Harry: It was not a mistake, it had my cupboard on it.","SILENCE! Er — yes, Harry — about this cupboard. Your aunt and I have been thinking . . . you’re really getting a bit big for it . . . we think it might be nice if you moved into Dudley’s second bedroom.","###Prompt:
Answer as if you are Vernon responding to the previous line."
"SILENCE! Er — yes, Harry — about this cupboard. Your aunt and I have been thinking . . . you’re really getting a bit big for it . . . we think it might be nice if you moved into Dudley’s second bedroom.",Why?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Why?,I don’t want him in there . . . I need that room . . . make him get out. . . .Harry: AAAAARRRGH! I want —,"###Prompt:
Answer as if you are Dudley responding to the previous line."
I don’t want him in there . . . I need that room . . . make him get out. . . .Harry: AAAAARRRGH! I want —,"I’m not sure that’ll work, Vernon.","###Prompt:
Answer as if you are Petunia responding to the previous line."
"I’m not sure that’ll work, Vernon.","Oh,Hagrid: Couldn’t make us a cup o’ tea, could yeh? It’s not been an easy journey. . . . Budge up, yeh great lump, An’ here’s Harry! Ah, shut up, Dursley, yeh great prune,","###Prompt:
Answer as if you are Vernon responding to the previous line."
"Oh,Hagrid: Couldn’t make us a cup o’ tea, could yeh? It’s not been an easy journey. . . . Budge up, yeh great lump, An’ here’s Harry! Ah, shut up, Dursley, yeh great prune,",Who are you?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Who are you?,"True, I haven’t introduced meself. Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"True, I haven’t introduced meself. Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Don’t touch anything he gives you, Dudley.","###Prompt:
Answer as if you are Vernon responding to the previous line."
"Don’t touch anything he gives you, Dudley.","Yer great puddin’ of a son don’ need fattenin’ anymore, Dursley, don’ worry.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Yer great puddin’ of a son don’ need fattenin’ anymore, Dursley, don’ worry.","I’m sorry, but I still don’t really know who you are.","###Prompt:
Answer as if you are Harry responding to the previous line."
"I’m sorry, but I still don’t really know who you are.","Sorry? It’s them as should be sorry! I knew yeh weren’t gettin’ yer letters but I never thought yeh wouldn’t even know abou’ Hogwarts, fer cryin’ out loud! Did yeh never wonder where yer parents learned it all?","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Sorry? It’s them as should be sorry! I knew yeh weren’t gettin’ yer letters but I never thought yeh wouldn’t even know abou’ Hogwarts, fer cryin’ out loud! Did yeh never wonder where yer parents learned it all?",All what?,"###Prompt:
Answer as if you are Harry responding to the previous line."
All what?,"ALL WHAT? About our world, I mean. Your world. My world. Yer parents’ world.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"ALL WHAT? About our world, I mean. Your world. My world. Yer parents’ world.",What world?,"###Prompt:
Answer as if you are Harry responding to the previous line."
What world?,DURSLEY!,"###Prompt:
Answer as if you are Hagrid responding to the previous line."
DURSLEY!,"What? My — my mum and dad weren’t famous, were they?","###Prompt:
Answer as if you are Harry responding to the previous line."
"What? My — my mum and dad weren’t famous, were they?","You never told him? Never told him what was in the letter Dumbledore left fer him? I was there! I saw Dumbledore leave it, Dursley! An’ you’ve kept it from him all these years?","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"You never told him? Never told him what was in the letter Dumbledore left fer him? I was there! I saw Dumbledore leave it, Dursley! An’ you’ve kept it from him all these years?",Kept what from me?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Kept what from me?,STOP! I FORBID YOU!,"###Prompt:
Answer as if you are Vernon responding to the previous line."
STOP! I FORBID YOU!,"I’m a what? What does it mean, they await my owl?","###Prompt:
Answer as if you are Harry responding to the previous line."
"I’m a what? What does it mean, they await my owl?","Gallopin’ Gorgons, that reminds me, Where was I?","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Gallopin’ Gorgons, that reminds me, Where was I?","He’s not going,","###Prompt:
Answer as if you are Vernon responding to the previous line."
"He’s not going,","I’d like ter see a great Muggle like you stop him,","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"I’d like ter see a great Muggle like you stop him,",A what?,"###Prompt:
Answer as if you are Harry responding to the previous line."
A what?,"A Muggle, it’s what we call nonmagic folk like them. An’ it’s your bad luck you grew up in a family o’ the biggest Muggles I ever laid eyes on.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"A Muggle, it’s what we call nonmagic folk like them. An’ it’s your bad luck you grew up in a family o’ the biggest Muggles I ever laid eyes on.","We swore when we took him in we’d put a stop to that rubbish, swore we’d stamp it out of him!","###Prompt:
Answer as if you are Vernon responding to the previous line."
"We swore when we took him in we’d put a stop to that rubbish, swore we’d stamp it out of him!","Knew! Knew! Of course we knew! How could you not be, my dratted sister being what she was? Oh, she got a letter just like that and disappeared off to that — that school — and came home every vacation with her pockets full of frog spawn, turning teacups into rats. I was the only one who saw her for what she was — a freak! she went and got herself blown up and we got landed with you!","###Prompt:
Answer as if you are Petunia responding to the previous line."
"Knew! Knew! Of course we knew! How could you not be, my dratted sister being what she was? Oh, she got a letter just like that and disappeared off to that — that school — and came home every vacation with her pockets full of frog spawn, turning teacups into rats. I was the only one who saw her for what she was — a freak! she went and got herself blown up and we got landed with you!",Blown up? You told me they died in a car crash!,"###Prompt:
Answer as if you are Harry responding to the previous line."
Blown up? You told me they died in a car crash!,How could a car crash kill Lily an’ James Potter? It’s an outrage! A scandal! Harry Potter not knowin’ his own story when every kid in our world knows his name!,"###Prompt:
Answer as if you are Hagrid responding to the previous line."
How could a car crash kill Lily an’ James Potter? It’s an outrage! A scandal! Harry Potter not knowin’ his own story when every kid in our world knows his name!,But why? What happened?,"###Prompt:
Answer as if you are Harry responding to the previous line."
But why? What happened?,"I never expected this, I had no idea, when Dumbledore told me there might be trouble gettin’ hold of yeh, how much yeh didn’t know. Ah, Harry, I don’ know if I’m the right person ter tell yeh — but someone’s gotta — yeh can’t go off ter Hogwarts not knowin’. Well, it’s best yeh know as much as I can tell yeh — mind, I can’t tell yeh everythin’, it’s a great myst’ry, parts of it. . . . It begins, I suppose, with — with a person called — but it’s incredible yeh don’t know his name, everyone in our world knows —","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"I never expected this, I had no idea, when Dumbledore told me there might be trouble gettin’ hold of yeh, how much yeh didn’t know. Ah, Harry, I don’ know if I’m the right person ter tell yeh — but someone’s gotta — yeh can’t go off ter Hogwarts not knowin’. Well, it’s best yeh know as much as I can tell yeh — mind, I can’t tell yeh everythin’, it’s a great myst’ry, parts of it. . . . It begins, I suppose, with — with a person called — but it’s incredible yeh don’t know his name, everyone in our world knows —",Who? Why not?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Who? Why not?,"Gulpin’ gargoyles, Harry, people are still scared. Blimey, this is difficult. See, there was this wizard who went . . . bad. As bad as you could go. Worse. Worse than worse. His name was . . .","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Gulpin’ gargoyles, Harry, people are still scared. Blimey, this is difficult. See, there was this wizard who went . . . bad. As bad as you could go. Worse. Worse than worse. His name was . . .",Could you write it down?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Could you write it down?,"Nah — can’t spell it. All right — Voldemort. Don’ make me say it again. Anyway, this — this wizard, about twenty years ago now, started lookin’ fer followers. Dark days, Harry. Didn’t know who ter trust, didn’t dare get friendly with strange wizards or witches . . . terrible things happened. He was takin’ over. ’ ’Course, some stood up to him — an’ he killed ’em. Reckon Dumbledore’s the only one You-Know-Who was afraid of. Didn’t dare try takin’ the school, not jus’ then, anyway. Now, yer mum an’ dad were as good a witch an’ wizard as I ever knew. Head boy an’ girl at Hogwarts in their day! Suppose the myst’ry is why You-Know-Who never tried to get ’em on his side before . . . probably knew they were too close ter Dumbledore ter want anythin’ ter do with the Dark Side. Maybe he thought he could persuade ’em . . . maybe he just wanted ’em outta the way. All anyone knows is, he turned up in the village where you was all living, on Halloween ten years ago. You was just a year old. He came ter yer house an’— an’— Took yeh from the ruined house myself, on Dumbledore’s orders. Brought yeh ter this lot . . .","###Prompt:
Answer as if you are Hagrid responding to the previous line."
